,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
105377778,0,0,0,0,0,0,0.2187,0,0,0,0,0,0.06894,0,0,0,0,0
2055,2.26,2.437,2.315,3.448,2.889,0.7633,1.247,3.093,5.424,1.836,1.141,1.953,2.65,1.461,1.109,1.971,3.669,2.295
101927752,6.083,9.342,4.027,7.366,10.67,6.033,4.233,6.5,7.728,2.547,11.94,8.058,7.617,9.359,4.384,5.43,8.745,8.882
100500912,0,0,0,0,0,0,0,0,2.109,0,0.9296,0,2.482,0,0,0,1.598,0
105377779,0,0,0,0,0,0,0,0,0.07058,0,0.03111,0,0,0,0,0,0.05348,0
693181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9639,1.382,3.682,0.289,0.2445,2.047,0.07681,0.008704,0.2517,0.6296,0.3288,0.04112,0.0818,0.1921,0.03624,0.1009,0,0.318,0.1299
100131395,0,0.1554,0,0.01229,0.08697,0.01448,0,0,0.03517,0,0,0,0.01035,0,0,0,0,0.01088
9920,1.209,1.719,1.854,2.909,2.327,0.4834,1.005,2.684,4.627,2.337,1.05,0.9422,2.347,0.7246,0.9308,1.796,2.132,1.956
101928058,0,0,0,0,0,0,0.03298,0.09538,0.4418,0,0,0,0.104,0,0,0,0,0.1641
104266957,0,0,0.1084,0,0.1135,0,0,0,0,0,0,0,0.108,0,0,0,0.2783,0
9172,6.943,16.97,1.69,3.563,11.05,2.04,7.365,27.05,46.48,1.211,7.17,7.322,13.66,6.572,2.828,4.373,34.82,7.16
102465695,0,0,0,0,0,0,0,0,2.758,0,0,0,0,0,0,0,0,0
105377781,0.5275,1.538,0.2568,0.3041,1.076,0,0.6496,3.288,5.918,0,0.7288,0.8141,2.918,0.2705,0.03424,0,3.561,1.023
105377782,1.043,2.318,0.03656,0.498,1.149,0.3061,1.665,2.708,6.753,0.08734,0.71,1.026,1.33,0.5777,0.1219,0.3165,3.38,1.323
107986880,0,0,0,0,0,0,0,0.3813,0,0,0.3114,0.2754,1.039,0,0,0,1.338,0
105377783,0,0.1321,0,0.1567,0.06932,0,0.1674,0,0.2243,0,0.04943,0.04371,0.2639,0.1743,0,0,0,0.2082
105377784,0,0.06937,0,0.0823,0.07279,0,0.1318,0,0.2355,0,0.2076,0.04589,0.2078,0.305,0,0,0.2676,0.2915
101927815,0,0,0,0.07994,0,0.02354,0,0,0,0,0,0,0,0,0,0,0.04333,0
107986865,0.04048,0,0,0.04201,0,0,0.2468,0,0,0.2118,0.05299,0.02343,0.2476,0,0,0,0.09108,0.4464
105377785,0,0.01406,0.04224,0.05004,0.01475,0.06877,0,0,0,0.05046,0,0,0,0,0,0,0.03616,0.02954
105377786,0,0,0.01462,0.08661,0,0,0,0,0,0.03494,0,0,0,0,0,0,0,0
64478,0,0,0.05328,0.01262,0.01116,0.003718,0.02359,0.1267,0.298,0,0,0.01408,0.02656,0.004678,0.01066,0,0.1232,0.02235
105377792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107986907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107986908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105377797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100287015,0.2006,0.4211,0.5272,0.7909,0.8468,0.07356,0.6002,0.8358,0.6551,0.2519,0.42,0.4411,0.5607,0.2468,0.1875,0.537,0.5866,0.8109
