,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
IGSF3,0,0,0,0.02284,0,0.06054,0,0.03527,0.06535,0,0.03601,0.006368,0.009613,0,0.01286,0,0.01238,0.01011
IGSF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGSF6,170.5,84.06,62.79,123.7,107.2,19.93,30.9,81.67,210,96.37,56.75,114.7,88.69,61.82,46,134.5,131.4,112.8
IGSF8,2.882,5.109,5.287,4.597,5.006,3.843,6.035,5.89,7.869,2.429,3,3.112,6.894,2.812,2.339,3.763,6.745,5.794
IGSF9,0.09289,0.04063,0,0.09641,0.04263,0,0,0,0.03448,0.04861,0,0.1075,0.04058,0.01786,0.02714,0,0.05225,0.04268
IGSF9B,0.2479,0.1355,0.2534,0.3002,0.2845,0.09472,0.2061,0.149,0.5522,0.05406,0.1623,0.1614,0.3068,0.2225,0.06036,0.378,0.3835,0.1804
IHH,0,0.2392,0.1027,0,0,0,0,0.0626,0,0,0,0,0,0,0,0,0.04394,0
IHO1,0.09846,0.1507,0.0647,0.5109,0.1356,0.01505,0.1773,0.1184,0.5482,0.3607,0.04833,0.1709,0.2365,0.09467,0.1294,0.4614,0.5261,0.3393
IK,44.8,51.82,53.28,56.68,67.33,35.48,26.6,69.21,108.1,58.47,27.78,40.02,59.07,27.23,25.85,51.55,80.55,55.67
IKBIP,6.724,6.169,2.813,7.293,6.033,1.19,1.849,5.834,14.56,4.868,3.143,3.145,3.842,2.567,1.433,5.325,9.157,3.508
IKBKB,8.722,13.18,13.06,16.55,13.57,7.771,9.685,16.56,27.96,10.07,5.45,7.804,15.98,5.35,6.709,17.03,19.13,13.39
IKBKB-DT,0,0,0,0,0.1364,0,0,0,0,0,0,0,0,0,0,0,0,0
IKBKE,9.338,16.08,14.5,12.57,14.82,9.575,7.323,13.93,21.34,11.32,5.478,7.258,14.37,5.797,6.525,8.744,14.96,14.86
IKBKG,14.7,14.81,16.41,17.69,20.53,10.14,6.957,17.55,30.6,14.73,9.316,13.56,15.34,8.423,10.65,21.47,24.2,15.85
IKZF1,11.35,19.19,19.28,23.48,16.5,14.57,16.24,24.18,47.32,18.17,9.347,12.29,23.67,9.799,8.239,14.18,22.44,22.07
IKZF2,0.63,1.022,0.434,0.7387,1.152,0.2176,0.4878,0.6629,1.535,0.2617,0.3557,0.2728,0.7352,0.259,0.1517,0.1459,0.4869,0.464
IKZF3,11.22,25.93,22.89,23.48,20.13,15.01,20.46,24.98,48.06,12.65,9.565,10,24.78,10.56,8.282,12.91,26.25,16.39
IKZF4,0.615,0.7553,1.005,1.129,1.216,0.7014,0.885,0.891,1.774,0.7304,0.5961,0.7256,1.157,0.5732,0.4216,0.3484,0.8383,0.8043
IKZF5,4.318,5.112,3.735,4.844,4.689,2.146,3.147,5.125,9.987,4.174,2.237,2.489,4.383,1.484,0.7086,2.182,4.548,3.884
