GSM5824838	GSM5824839	GSM5824847	GSM5824852	GSM5824855	GSM5824858	GSM5824868	GSM5824878	GSM5824885	GSM5824894	GSM5824904	GSM5824932	GSM5824943	GSM5824955	GSM5824967	GSM5824970	GSM5824979	GSM5824984
12.99	13.16	16.09	13.48	17.72	11.76	10.23	15.69	23.75	11.59	6.296	8.852	15.77	5.924	6.269	9.863	17.59	20.01
3.12	4.606	4.492	7.317	4.458	2.791	3.148	5.644	12.45	5.018	2.667	3.111	5.035	2.453	2.846	5.027	6.499	4.438
0.05162	0.1806	0.09046	1.5	0.1895	0	0	0.2482	0.3066	0.1081	0.06757	0.05975	0	0.3177	0.3016	1.336	0.2323	0.09488
13.15	22.01	27.02	34.8	23.14	12.08	17.82	34.77	70.28	29.76	12.31	17.78	29.64	14.83	12.41	28.05	35.38	29.66
1719	988.8	629.8	2075	1476	509.5	551.6	1199	2985	1552	657.3	1233	1058	680.9	1000	2655	2120	1126
0	0	0	0	0	0	0	0.03262	0	0	0	0	0	0	0	0	0	0
3.203	5.516	7.747	7.029	6.431	3.467	2.052	7.914	11.49	5.832	2.795	4.016	5.858	2.541	2.69	5.211	7.845	7.481
5.324	4.6	4.693	8.576	4.967	2.908	3.807	5.566	14.94	10.02	2.565	4.896	6.905	2.755	2.354	6.005	6.246	9.604
3.671	5.598	7.599	8.687	8.642	4.067	4.443	10.07	18.41	5.887	4.949	5.254	9.681	4.521	3.72	6.509	8.981	7.444
5.498	4.447	4.322	4.377	5.496	2.693	2.504	5.372	8.555	5.163	2.465	2.79	4.704	2.201	1.672	3.529	6.185	4.706
9.134	10.8	13.93	6.671	13.51	8.789	8.531	11.93	11.8	9.56	5.093	9.888	11.82	3.904	3.064	13.44	14.27	15.7
15.74	24.63	29.39	29.45	23.73	13.64	16.19	31.48	40.94	17.99	13.7	18.15	30.67	13.79	12.09	20.85	33.1	31.02
0.02335	0.04086	0.04092	0.04847	0	0.04283	0	0	0.03468	0.09777	0	0	0.1428	0.01796	0.06822	0	0.05254	0
1.742	3.026	3.788	2.961	2.619	2.031	1.424	3.306	4.439	1.913	1.269	1.852	3.14	1.264	1.299	2.095	3.377	2.588
3.675	3.467	3.645	5.216	3.136	1.327	2.626	4.746	9.808	5.896	1.829	2.953	4.351	2.138	1.366	3.239	4.083	4.967
10.22	9.501	9.72	12.3	9.516	7.172	5.022	9.588	27.38	11.67	4.41	6.185	9.843	5.428	2.817	5.366	11.21	11.13
0.339	0.9581	0.8454	0.663	0.6343	1.291	0.7298	0.6896	1.026	0.6141	0.256	0.4829	0.7062	0.4012	0.3961	0.4539	0.7774	0.4912
13.13	11.59	11.86	18.48	14.92	8.595	8.054	14.08	29.13	14.04	8.559	12.71	15.11	8.301	8.248	22.11	18.79	15.79
1.615	2.968	2.672	2.662	2.836	1.309	2.585	2.784	3.418	1.226	1.295	1.087	2.17	0.8233	1.097	1.568	3.112	2.357
4.398	7.323	7.812	9.35	6.842	4.857	6.061	8.774	19.22	6.856	3.557	5.183	8.938	3.945	2.803	5.859	8.311	8.425
2.609	3.641	3.782	3.365	4.719	3.026	2.53	4.089	5.868	2.67	2.185	2.243	4.525	1.431	1.524	2.722	4.597	3.191
101.6	103.6	105.3	97.49	104.7	55.73	87.73	112.5	121.2	86.44	76.77	83.95	111.6	83.54	58.54	62.57	98.47	142.6
0.08139	0.1602	0.624	0.6546	0.1681	0.3731	0.4623	0.3587	0.7553	0.6389	0.3862	0.2473	0.711	0.1878	0.214	0.01816	0.4807	0.4113
0.03481	0.1116	0.2541	0.08429	0.1171	0.05674	0.18	0.05579	0.224	0.1943	0.1291	0.08729	0.1622	0.09817	0.1762	0.07249	0.1175	0.2132
0.6764	1.114	0.8135	1.239	0.9497	0.9649	0.5513	1.254	1.418	0.5275	0.7639	0.4836	1.054	0.5714	0.527	0.734	1.164	0.7801
0	0	0	0.05156	0.04561	0.03037	0	0	0	0	0.03252	0	0	0	0.08709	0	0.1118	0
3.389	6.127	7.612	7.411	6.451	6.27	4.903	8.566	12.02	4.142	3.051	3.554	7.292	3.027	3.123	4.425	9.85	6.917
5.146	6.431	6.196	5.268	5.656	3.981	3.163	6.284	9.98	4.653	3.024	3.323	7.248	2.101	3.089	3.781	6.577	5.662
0.273	0.7598	0.5219	0.5924	0.6378	0.622	0.9078	0.2387	0.2211	0.8312	0.2761	0.4452	0.6504	0.3054	0.6815	0.6645	0.4746	0.9578
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1	1.99	2.16	1.85	1.845	1.275	0.9878	1.945	3.153	1.707	0.8687	1.251	2.518	0.8168	0.5982	1.286	2.133	1.917
3.06	3.207	3.478	4.148	5.339	3.673	2.261	4.506	6.017	2.395	1.732	2.345	4.214	1.993	1.594	1.993	3.938	3.496
14.76	12.08	18.91	18.57	16.58	12.21	9.454	24.11	28.9	12.59	9.481	13.43	22.82	10.15	9.28	10.38	28.5	28.88
6.69	8.741	11.65	9.118	9.672	5.494	4.678	9.434	18.2	9.526	4.454	9.605	12.01	4.837	3.439	7.048	14.54	16.07
0.9892	1.547	1.799	2.592	1.805	1.209	1.302	2.557	3.984	1.54	1.206	1.252	2.582	0.9037	1.373	1.137	2.907	2.136
